	Heere bigynneth the Knyghtes Tale.	Here begins the Knight's Tale.
	Iamque domos patrias, Sithice post	And now (Theseus drawing nigh his) native land in
	aspera gentis prelia,laurigero, etc.	laurelled car after battling with the Scithian folk, etc.
2418	And ben thy trewe servant whil I lyve.		And be thy true servant while I live.
2419	Now, lord, have routhe upon my sorwes soore;		Now, lord, have pity upon my painful sorrows;
2420	Yif me [victorie]; I aske thee namoore."		Give me victory; I ask of thee no more."
2421	The preyere stynt of Arcita the stronge,		The prayer of Arcite the strong stopped,
2422	The rynges on the temple dore that honge,		The rings that hung on the temple door,
2423	And eek the dores, clatereden ful faste,		And also the doors, clattered very fast,
2424	Of which Arcita somwhat hym agaste.		Of which Arcite was somewhat afraid.
2425	The fyres brenden upon the auter brighte		The fires upon the altar burned (so) brightly
2426	That it gan al the temple for to lighte;		That it began to illuminate all the temple;
2427	A sweete smel the ground anon up yaf,		A sweet smell the ground at once yielded up,
2428	And Arcita anon his hand up haf,		And Arcite immediately raised up his hand,
2429	And moore encens into the fyr he caste,		And he cast more incense into the fire,
2430	With othere rytes mo; and atte laste		With more other rites; and at the last
2431	The statue of Mars bigan his hauberk rynge,		The statue of Mars began to ring its coat of mail,
2432	And with that soun he herde a murmurynge		And with that sound he heard a murmuring
2433	Ful lowe and dym, and seyde thus, "Victorie!"		Very low and faint, that said thus, "Victory!"
2434	For which he yaf to Mars honour and glorie.		For which he (Arcite) gave to Mars honor and glory.
2435	And thus with joye and hope wel to fare		And thus with joy and hope to fare well
2436	Arcite anon unto his in is fare,		Arcite at once is gone unto his lodging,
2437	As fayn as fowel is of the brighte sonne.		As happy as a fowl is for the bright sun.
2438	And right anon swich strif ther is bigonne,		And right away such strife there is begun,
2439	For thilke grauntyng, in the hevene above,		Because of that same grant, in the heaven above,
2440	Bitwixe Venus, the goddesse of love,		Between Venus, the goddess of love,
2441	And Mars, the stierne god armypotente,		And Mars, the stern god powerful in arms,
2442	That Juppiter was bisy it to stente,		That Jupiter was hard put to stop it,
2443	Til that the pale Saturnus the colde,		Until the pale Saturn the hostile,
2444	That knew so manye of aventures olde,		Who knew so many of old adventures,
2445	Foond in his olde experience an art		Found in his old experience a plan
2446	That he ful soone hath plesed every part.		That he full soon has pleased every side.
2447	As sooth is seyd, elde hath greet avantage;		As is truly said, old age has a great advantage;
2448	In elde is bothe wysdom and usage;		In old age is both wisdom and experience;
2449	Men may the olde atrenne and noght atrede.		One can outrun the old but not outwit them.
2450	Saturne anon, to stynten strif and drede,		Saturn anon, to stop strife and fear,
2451	Al be it that it is agayn his kynde,		Although it is against his natural disposition,
2452	Of al this strif he gan remedie fynde.		He found a remedy for all this strife.
2453	"My deere doghter Venus," quod Saturne,		"My dear daughter Venus," said Saturn,
2454	"My cours, that hath so wyde for to turne,		"My orbit, that has so wide (a course) to turn,
2455	Hath moore power than woot any man.		Has more power than any man knows.
2456	Myn is the drenchyng in the see so wan;		Mine is the drowning in the sea so dark;
2457	Myn is the prison in the derke cote;		Mine is the imprisonment in the dark cell;
2458	Myn is the stranglyng and hangyng by the throte,		Mine is the killing and hanging by the throat,
2459	The murmure and the cherles rebellyng,		The murmur (of discontent) and the churls' rebelling,
2460	The groynynge, and the pryvee empoysonyng;		The grumbling, and the secret poisoning;
2461	I do vengeance and pleyn correccioun,		I exact vengeance and do full punishment,
2462	Whil I dwelle in the signe of the leoun.		While I dwell in the (zodiacal) sign of the lion.
2463	Myn is the ruyne of the hye halles,		Mine is the ruin of the high halls,
2464	The fallynge of the toures and of the walles		The falling of the towers and of the walls
2465	Upon the mynour or the carpenter.		Upon the miner or the carpenter.
2466	I slow Sampsoun, shakynge the piler;		I slew Sampson, shaking the pillar;
2467	And myne be the maladyes colde,		And mine are the cold maladies,
2468	The derke tresons, and the castes olde;		The dark treasons, and the old plots;
2469	My lookyng is the fader of pestilence.		My (astrological) aspect is the father of pestilence.
2470	Now weep namoore; I shal doon diligence		Now weep no more; I shall do my diligence
2471	That Palamon, that is thyn owene knyght,		So that Palamon, who is thine own knight,
2472	Shal have his lady, as thou hast him hight.		Shall have his lady, as thou hast promised him.
2473	Though Mars shal helpe his knyght, yet nathelees		Though Mars shall help his knight, yet nonetheless
2474	Bitwixe yow ther moot be som tyme pees,		Between you there must be peace sometime,
2475	Al be ye noght of o compleccioun,		Although you are not of one (the same) temperament,
2476	That causeth al day swich divisioun.		Which daily causes such dissension.
2477	I am thyn aiel, redy at thy wille;		I am thy grandfather, ready (to do) as you wish;
2478	Weep now namoore; I wol thy lust fulfille."		Weep now no more; I will fulfill thy desire."
2479	Now wol I stynten of the goddes above,		Now I will stop (speaking) of the gods above,
2480	Of Mars, and of Venus, goddesse of love,		Of Mars, and of Venus, goddess of love,
2481	And telle yow as pleynly as I kan		And tell you as plainly as I can
2482	The grete effect, for which that I bygan.		The essential part, for which I began.
	Explicit tercia pars	The third part ends
	Sequitur pars quarta	The fourth part follows
2483	Greet was the feeste in Atthenes that day,		Great was the feast in Athens that day,
2484	And eek the lusty seson of that May		And also the pleasing season of that May
2485	Made every wight to been in swich plesaunce		Made every person to be in such delight
2486	That al that Monday justen they and daunce,		That all that Monday they joust and dance,
2487	And spenden it in Venus heigh servyse.		And spend that day in Venus's noble service.
2488	But by the cause that they sholde ryse		But because they must rise
2489	Eerly, for to seen the grete fight,		Early, to see the great fight,
2490	Unto hir reste wenten they at nyght.		Unto their rest they went at nightfall.
2491	And on the morwe, whan that day gan sprynge,		And in the morning, when day did spring,
2492	Of hors and harneys noyse and claterynge		Noise and clattering of horses and armor
2493	Ther was in hostelryes al aboute,		There was in hostelries all about,
2494	And to the paleys rood ther many a route		And to the palace there rode many a company
2495	Of lordes upon steedes and palfreys.		Of lords upon steeds and palfreys.
2496	Ther maystow seen devisynge of harneys		There canst thou see preparation of armor
2497	So unkouth and so riche, and wroght so weel		So exotic and so rich, and wrought so well
2498	Of goldsmythrye, of browdynge, and of steel;		Of goldsmiths' works, of embroidery, and of steel;
2499	The sheeldes brighte, testeres, and trappures,		The bright shields, horses' head-armor, and horse-armor,
2500	Gold-hewen helmes, coats of mail, cote-armures;		Gold-colored helms, coats of mail, tunics with heraldic devices;
2501	Lordes in parementz on hir courseres,		Lords in richly decorated robes on their coursers,
2502	Knyghtes of retenue, and eek squieres		Knights of (their) retinues, and also squires
2503	Nailynge the speres, and helmes bokelynge;		Nailing heads to the spear-shafts, and buckling helms;
2504	Giggynge of sheeldes, with layneres lacynge --		Fitting the shields with straps, fastening with laces --
2505	There as nede is they weren no thyng ydel;		Where it is needed they were not at all idle;
2506	The fomy steedes on the golden brydel		The steeds frothing on the golden bridles
2507	Gnawynge, and faste the armurers also		Gnawing, and fast the armorers also
2508	With fyle and hamer prikynge to and fro;		With file and hammer are spurring to and fro;
2509	Yemen on foote, and communes many oon		Yeomen on foot, and foot soldiers many a one
2510	With shorte staves, thikke as they may goon;		With short staves, thick as they can go;
2511	Pypes, trompes, nakers, clariounes,		Pipes, trumpets, kettle drums, bugles,
2512	That in the bataille blowen blody sounes;		That blow bloody sounds in the battle;
2513	The paleys ful of peple up and doun,		The palace full of people everywhere,
2514	Heere thre, ther ten, holdynge hir questioun,		Here three, there ten, debating,
2515	Dyvynynge of thise Thebane knyghtes two.		Conjecturing about these two Theban knights.
2516	Somme seyden thus, somme seyde "it shal be so";		Some said thus, some said "it shall be so";
2517	Somme helden with hym with the blake berd,		Some held with him with the black beard,
2518	Somme with the balled, somme with the thikke herd;		Some with the bald, some with the thickly haired;
2519	Somme seyde he looked grymme, and he wolde fighte:		Some said he looked grim, and he would fight:
2520	"He hath a sparth of twenty pound of wighte."		"He has a battle-ax of twenty pounds of weight."
2521	Thus was the halle ful of divynynge,		Thus was the hall full of conjecturing,
2522	Longe after that the sonne gan to sprynge.		Long after the sun began to rise.
2523	The grete Theseus, that of his sleep awaked		The great Theseus, who was awakened of his sleep
2524	With mynstralcie and noyse that was maked,		By the music and noise that was made,
2525	Heeld yet the chambre of his paleys riche		Remained yet in the chamber of his rich palace
2526	Til that the Thebane knyghtes, bothe yliche		Until the Theban knights, both equally
2527	Honured, were into the paleys fet.		Honored, were fetched into the palace.
2528	Duc Theseus was at a wyndow set,		Duke Theseus was set at a window,
2529	Arrayed right as he were a god in trone.		Arrayed exactly as if he were a god on a throne.
2530	The peple preesseth thiderward ful soone		The people press thither full soon
2531	Hym for to seen, and doon heigh reverence,		In order to see him, and to do great reverence,
